,station,lon,lat,disp,Amplitude,Peak_DoY,Min_DoY,Time_PeaktoMin,Amplitude_StDev,Peak_DoY_StDev,Min_DoY_StDev,Time_PeaktoMin_StDev
23,HMBG,"28   -28.129072
Name: longitude, dtype: float64","28    73.675983
Name: latitude, dtype: float64",Vertical,9.225493720460388,252,161,91,34.86738368246798,48.58927394816264,30.20393074127661,38.39942129193558
24,PAMI,"29   -49.670967
Name: longitude, dtype: float64","29    62.011567
Name: latitude, dtype: float64",Vertical,11.153842554353798,10,170,160,18.702066124961576,32.79117133023222,24.86324510232558,30.986892390170397
25,SISI,"30   -53.672864
Name: longitude, dtype: float64","30    66.934306
Name: latitude, dtype: float64",Vertical,7.214002588486133,251,136,115,50.800701194981556,50.22186289911505,21.511930518501387,41.63795153780338
26,DKSG,"31   -61.677658
Name: longitude, dtype: float64","31    76.351619
Name: latitude, dtype: float64",Vertical,9.245268577251792,256,162,94,26.306450774551138,72.89481102409384,27.181561169525697,45.579373514132776
27,QEQE,"32   -53.522331
Name: longitude, dtype: float64","32    69.252628
Name: latitude, dtype: float64",Vertical,10.860056264653117,248,161,87,24.797488570380956,59.10346191973683,21.915205018182373,39.52298478772336
28,KULL,"33   -57.227067
Name: longitude, dtype: float64","33    74.580625
Name: latitude, dtype: float64",Vertical,7.517609414520987,301,169,132,23.78575766800716,68.99036958495321,21.777684214911186,38.621741142637376
29,QAQ1,"37   -46.047761
Name: longitude, dtype: float64","37    60.715264
Name: latitude, dtype: float64",Vertical,7.756750215566042,258,143,115,36.00402265813409,58.35324885377682,20.506473681229547,41.84127771442482
30,SCOR,"38   -21.950336
Name: longitude, dtype: float64","38    70.485333
Name: latitude, dtype: float64",Vertical,7.0050760799684735,303,163,140,28.42193327803467,42.14805043936299,29.9998703833352,51.44228410315778
31,KAGA,"39   -49.814633
Name: longitude, dtype: float64","39    69.222303
Name: latitude, dtype: float64",Vertical,15.228870445381654,258,165,93,23.931301231934043,54.8769771049543,20.90151336185652,25.49195645198697
32,TIN1,"40   -50.463189
Name: longitude, dtype: float64","40    68.801242
Name: latitude, dtype: float64",Vertical,10.922293854688563,328,165,163,44.81817988269592,46.69222939643346,22.85226566840347,53.39513086415277
33,LEFN,"41   -26.293467
Name: longitude, dtype: float64","41    80.456683
Name: latitude, dtype: float64",Vertical,9.714897211620134,253,140,113,32.699968697789444,43.69347677593816,31.054931901510344,46.908290899392625
34,GMMA,"42   -19.652119
Name: longitude, dtype: float64","42    77.809428
Name: latitude, dtype: float64",Vertical,9.81853857267496,268,164,104,41.68065346714512,47.16322041419898,54.95046558204507,46.900426437293724
35,LBIB,"43   -23.852947
Name: longitude, dtype: float64","43    75.893808
Name: latitude, dtype: float64",Vertical,7.805594353884533,252,140,112,37.52993649939255,55.48377552378128,59.41298820293203,40.501971831285225
36,SCBY,"44   -59.593628
Name: longitude, dtype: float64","44    80.260133
Name: latitude, dtype: float64",Vertical,8.747525961906664,255,159,96,34.21090542744191,55.242961090179534,47.71193262841181,72.90444328873015
37,KULU,"47   -37.149361
Name: longitude, dtype: float64","47    65.579336
Name: latitude, dtype: float64",Vertical,11.2670257477982,311,119,192,61.11251391869246,63.05590053651563,43.53124988792313,62.54618701570929
38,MSVG,"48   -23.912867
Name: longitude, dtype: float64","48    72.240822
Name: latitude, dtype: float64",Vertical,8.966113959889828,263,159,104,31.873639635143075,51.108643000663605,24.048141796320476,43.39841266938483
39,KMJP,"49   -33.377089
Name: longitude, dtype: float64","49    83.643239
Name: latitude, dtype: float64",Vertical,6.978742684951486,16,159,143,19.231315044253705,49.38480013160844,52.97071170087175,57.543461835381436
40,NORD,"51   -16.655456
Name: longitude, dtype: float64","51    81.600142
Name: latitude, dtype: float64",Vertical,5.1583668039421315,9,153,144,91.14309469799751,93.214311508086,63.581451466164474,70.27424233531421
41,VFDG,"53   -29.817644
Name: longitude, dtype: float64","53    70.299925
Name: latitude, dtype: float64",Vertical,10.70269675963528,256,162,94,37.88684284581643,49.01532795399671,30.66106309124396,31.93006246296566
42,UPVK,"54   -56.128006
Name: longitude, dtype: float64","54    72.788289
Name: latitude, dtype: float64",Vertical,5.835480026495712,58,170,112,34.105653918488755,63.723099189208234,48.05057547139324,61.14007993943089
43,KAPI,"55   -50.271214
Name: longitude, dtype: float64","55    64.432353
Name: latitude, dtype: float64",Vertical,9.950286449996428,253,141,112,38.49263218365555,64.12734984471176,20.443099886512393,16.870604137096493
44,THU1,"56   -68.788
Name: longitude, dtype: float64","56    76.5373
Name: latitude, dtype: float64",Vertical,10.859532871133993,28,226,198,7.094297183120737,54.86564612402312,63.69259998524003,51.63997966692086
45,DANE,"57   -20.199831
Name: longitude, dtype: float64","57    74.311947
Name: latitude, dtype: float64",Vertical,7.7407167551048,302,163,139,36.18419274996087,65.08150244479683,50.42711021439612,43.45815884558311
46,QAAR,"58   -52.688378
Name: longitude, dtype: float64","58    70.740406
Name: latitude, dtype: float64",Vertical,10.995146728149374,306,159,147,19.459216540081265,58.34480204603889,20.0661068393279,30.22407811595225
47,SRMP,"59   -54.393711
Name: longitude, dtype: float64","59    72.910678
Name: latitude, dtype: float64",Vertical,10.266232265797326,256,160,96,27.50529301196482,55.18678445710351,23.545012175138947,34.77162268207563
48,SENU,"60   -47.141319
Name: longitude, dtype: float64","60    61.069581
Name: latitude, dtype: float64",Vertical,18.14377783245189,265,143,122,29.442365662411557,50.348222626256465,20.252228098492292,28.29445862512462
49,KSNB,"62   -35.576319
Name: longitude, dtype: float64","62    66.863281
Name: latitude, dtype: float64",Vertical,10.093415344712259,305,163,142,34.35811761719565,51.76700725543215,29.529008578602202,44.45735875425849
50,PLPK,"63   -34.033464
Name: longitude, dtype: float64","63    66.897728
Name: latitude, dtype: float64",Vertical,11.564296070259644,304,152,152,29.048007924679975,64.9926372477886,31.170739470002083,56.4050583923543
51,LYNS,"64   -40.198056
Name: longitude, dtype: float64","64    64.430483
Name: latitude, dtype: float64",Vertical,12.334012619298719,258,122,136,27.695460872960414,47.22943436036431,24.639652640946935,58.68764776339225
52,KAGZ,"65   -65.852967
Name: longitude, dtype: float64","65    79.131958
Name: latitude, dtype: float64",Vertical,8.339175975776195,46,168,122,30.9880620264602,55.21006582330071,15.61678493764482,34.241968353092886
53,HEL2,"66   -38.215708
Name: longitude, dtype: float64","66    66.401158
Name: latitude, dtype: float64",Vertical,18.254204199325173,298,141,157,25.969543138693187,55.33386343882879,18.484135149729195,36.435879752427184
54,ASKY,"67   -58.257356
Name: longitude, dtype: float64","67    75.726128
Name: latitude, dtype: float64",Vertical,8.29707915869467,299,166,133,25.936631925740546,66.83824022878228,23.915819425342036,40.52639743289414
55,NUUK,"69   -51.731164
Name: longitude, dtype: float64","69    64.183553
Name: latitude, dtype: float64",Vertical,8.253195720892059,311,164,147,36.143136361585235,48.10087344350073,21.95191259856352,35.97381763943821
56,UTMG,"70   -43.306422
Name: longitude, dtype: float64","70    62.927208
Name: latitude, dtype: float64",Vertical,12.529251841456642,298,155,143,23.814083229162378,47.64488257858069,18.75667388094983,25.676628598753908
57,MIK2,"71   -31.451825
Name: longitude, dtype: float64","71    68.140281
Name: latitude, dtype: float64",Vertical,12.659447390421517,324,162,162,32.05140365765419,41.990752692276885,30.1830918468178,46.939467503024105
58,KUAQ,"72   -33.05275
Name: longitude, dtype: float64","72    68.587
Name: latitude, dtype: float64",Vertical,13.085002531643788,252,140,112,40.06991538056872,47.99314222185394,25.508112889618992,40.71445279832049
59,RINK,"74   -50.993967
Name: longitude, dtype: float64","74    71.8485
Name: latitude, dtype: float64",Vertical,9.646022883526983,333,165,168,35.03704902596921,61.72636085690318,26.450701869493685,33.97016806462842
60,NRSK,"75   -17.725419
Name: longitude, dtype: float64","75    79.155031
Name: latitude, dtype: float64",Vertical,6.296257826429658,257,165,92,53.834668056580725,68.8302146554273,76.17613832466331,97.61440174775149
